Symbol,Company,Sectors
MHL,Mandakini Hydropower Limited,Hotel and Tourism
DHPL,Dibyashwari Hydropower Company Limited,Hotel and Tourism
NYADI,Nyadi Hydropower Limited,Hotel and Tourism
NGPL,Ngadi Group Power Limited,Hotel and Tourism
RADHI,Radhi Bidyut Company Limited,Hotel and Tourism
KKHC,Khani Khola Hydropower Company Limited,Hotel and Tourism
GHL,Ghalemdi Hydro Limited,Hotel and Tourism
HURJA,Himalaya Urja Bikas Company Limited,Hotel and Tourism
UMHL,United Modi Hydropower Limited,Hotel and Tourism
AKJCL,Ankhukhola Hydropower Company Limited,Hotel and Tourism
UPCL,Universal Power Company Limited,Hotel and Tourism
SPL,Shuvam Power Limited,Hotel and Tourism
NHDL,Nepal Hydro Developer Limited,Hotel and Tourism
SPDL,Synergy Power Development Limited,Hotel and Tourism
HPPL,Himalayan Power Partner Limited,Hotel and Tourism
CHL,Chhyangdi Hydropower Company Limited,Hotel and Tourism
SAHAS,Sahas Urja Limited,Hotel and Tourism
JOSHI,Joshi Hydropower Development Company Limited,Hotel and Tourism
BHPL,Barahi Hydropower Public Limited,Hotel and Tourism
MHNL,Mountain Hydro Nepal Limited,Hotel and Tourism
PMHPL,Panchakanya Mai Hydropower Limited,Hotel and Tourism
UNHPL,Union Hydropower Limited,Hotel and Tourism
KPCL,Kalika Power Company Limited,Hotel and Tourism
PPCL,Panchthar Power Company Limited,Hotel and Tourism
RHGCL,Rapti Hydro & General Construction Limited,Hotel and Tourism
HDHPC,Himal Dolakha Hydropower Company Limited,Hotel and Tourism
MKHC,Maya Khola Hydropower Company Limited,Hotel and Tourism
SSHL,Shiva Shree Hydropower Limited,Hotel and Tourism
RURU,Ru Ru Jalbidhyut Pariyojana Limited,Hotel and Tourism
USHEC,Upper Solu Hydro Electric Company Limited,Hotel and Tourism
EHPL,Eastern Hydropower Limited,Hotel and Tourism
USHL,Upper Syange Hydropower Limited,Hotel and Tourism
GLH,Greenlife Hydropower Limited,Hotel and Tourism
BHDC,Bindhyabasini Hydropower Development Company Limited,Hotel and Tourism
RFPL,River Falls Power Limited,Hotel and Tourism
BNHC,Buddha Bhumi Nepal Hydropower Company Limited,Hotel and Tourism
TAMOR,Sanima Middle Tamor Hydropower Limited,Hotel and Tourism
SHEL,Singati Hydro Energy Limited,Hotel and Tourism
SPHL,Sayapatri Hydropower Limited,Hotel and Tourism
MEN,Mountain Energy Nepal Limited,Hotel and Tourism
BEDC,Bhugol Energy Development Company Limited,Hotel and Tourism
TSHL,Three Star Hydropower Limited,Hotel and Tourism
LEC,Liberty Energy Company Limited,Hotel and Tourism
UMRH,United Idi-Mardi and R.B. Hydropower Limited,Hotel and Tourism
UHEWA,Upper Hewakhola Hydropower Company Limited,Hotel and Tourism
HHL,Himalayan Hydropower Limited,Hotel and Tourism
MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,Hotel and Tourism
TPC,Terhathum Power Company Limited,Hotel and Tourism
BHL,Balephi Hydropower Limited,Hotel and Tourism
PPL,People's Power Limited,Hotel and Tourism
SPC,Samling Power Company Limited,Hotel and Tourism
SGHC,Swet-Ganga Hydropower & Construction Limited,Hotel and Tourism
AHL,Asian Hydropower Limited,Hotel and Tourism
PHCL,Peoples Hydropower Company Limited,Hotel and Tourism
SMH,Supermai Hydropower Limited,Hotel and Tourism
MHCL,Molung Hydropower Company Limited,Hotel and Tourism
SIKLES,Sikles Hydropower Limited,Hotel and Tourism
GVL,Green Ventures Limited,Hotel and Tourism
MAKAR,Makar Jitumaya Suri Hydropower Company Limited,Hotel and Tourism
DHEL,Daramkhola Hydro Energy Limited,Hotel and Tourism
BGWT,Bhagawati Hydropower Development Company Limited,Hotel and Tourism
MEL,Modi Energy Limited,Hotel and Tourism
MSHL,Mid Solu Hydropower Company Limited,Hotel and Tourism
BUNGAL,Bungal Hydro Limited,Hotel and Tourism
IHL,Ingwa Hydropower Ltd,Hotel and Tourism
SMHL,Super Madi Hydropower Limited,Hotel and Tourism
MKHL,Mai Khola Hydropower Limited,Hotel and Tourism
SMJC,Sagarmatha Jalbidhyut Company Limited,Hotel and Tourism
RAWA,Rawa Energy Development Ltd.,Hotel and Tourism
RIDI,Ridi Power Company Limited,Hotel and Tourism
DOLTI,Dolti Power Company Ltd,Hotel and Tourism
MCHL,Menchhiyam Hydropower Limited,Hotel and Tourism
ULHC,Upper Lohore Khola Hydropower Company Limited,Hotel and Tourism
CKHL,Chirkhwa Hydro Power Limited,Hotel and Tourism
MANDU,Mandu Hydropower Limited,Hotel and Tourism
MEHL,Manakamana Engineering Hydropower Limited,Hotel and Tourism
VLUCL,Vision Lumbini Urja Company Limited,Hotel and Tourism
KBSH,Kutheli Bukhari Small Hydropower Limited,Hotel and Tourism
HIMSTAR,Him Star Urja Company Limited,Hotel and Tourism
MABEL,Mabilung Energy Limited,Hotel and Tourism
SANVI,Sanvi Energy Limited,Hotel and Tourism
BHCL,Bikash Hydropower Company Limited,Hotel and Tourism
CIT,Citizen Investment Trust,Investment
HIDCL,Hydroelectricity Investment and Development Company Limited,Investment
CHDC,CEDB Holdings Limited,Investment
ENL,Emerging Nepal Limited,Investment
NIFRA,Nepal Infrastructure Bank Limited,Investment
NRN,NRN Infrastructure and Development Limited,Investment
HATHY,Hathway Investment Nepal Limited,Investment
RJBCL,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance
NLICL,National Life Insurance Company Limited,Life Insurance
NLIC,Nepal Life Insurance Company Limited,Life Insurance
LICN,Life Insurance Corporation Nepal Limited,Life Insurance
ALICL,Asian Life Insurance Company Limited,Life Insurance
ILI,IME Life Insurance Company Limited,Life Insurance
RNLI,Reliable Nepal Life Insurance Limited,Life Insurance
SNLI,Sun Nepal Life Insurance Company Limited,Life Insurance
CLI,Citizen Life Insurance Company Limited,Life Insurance
SJLIC,SuryaJyoti Life Insurance Company Limited,Life Insurance
HLI,Himalayan Life Insurance Limited,Life Insurance
SRLI,Sanima Reliance Life Insurance Limited,Life Insurance
PMLI,Prabhu Mahalaxmi Life Insurance Company Limited,Life Insurance
CREST,Crest Micro Life Insurance Limited,Life Insurance
GMLI,Guardian Micro Life Insurance Limited,Life Insurance
BNL,Bottlers Nepal Limited (Balaju),Manufacturing and Processing
NLO,Nepal Lube Oil Limited,Manufacturing and Processing
BNT,Bottlers Nepal (Terai) Limited,Manufacturing and Processing
UNL,Unilever Nepal Limited,Manufacturing and Processing
SRS,Shree Ram Sugar Mills Limited,Manufacturing and Processing
HDL,Himalayan Distillery Limited,Manufacturing and Processing
SHIVM,Shivam Cements Limited,Manufacturing and Processing
SARBTM,Sarbottam Cement Limited,Manufacturing and Processing
SONA,Sonapur Minerals and Oil Limited,Manufacturing and Processing
GCIL,Ghorahi Cement Industry Limited,Manufacturing and Processing
OMPL,Om Megashree Pharmaceuticals Limited,Manufacturing and Processing
SYPNL,SY Panel Nepal Limited,Manufacturing and Processing
SAGAR,Sagar Distillery Limited,Manufacturing and Processing
SAIL,Shreenagar Agritech Industries Limited,Manufacturing and Processing
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,Microfinance
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance
FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance
SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,Microfinance
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,Microfinance
KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,Microfinance
JSLBB,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance
MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,Microfinance
LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,Microfinance
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),Microfinance
VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,Microfinance
FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance
MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance
RSDC,RSDC Laghubitta Bittiya Sanstha Limited,Microfinance
NMBMF,NMB Laghubitta Bittiya Sanstha Limited,Microfinance
GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,Microfinance
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance
SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance
NADEP,NADEP Laghubitta Bittiya Sanstha Limited,Microfinance
SMB,Support Laghubitta Bittiya Sanstha Limited,Microfinance
GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance
ALBSL,Asha Laghubitta Bittiya Sanstha Limited,Microfinance
ILBS,Infinity Laghubitta Bittiya Sanstha Limited,Microfinance
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,Microfinance
GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance
NICLBSL,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance
MLBS,Manushi Laghubitta Bittiya Sanstha Limited,Microfinance
MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,Microfinance
SWASTIK,Swastik Laghubitta Bittiya Sanstha Limited,Microfinance
JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,Microfinance
SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microfinance
NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,Microfinance
USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance
UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,Microfinance
DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance
CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microfinance
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance
WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,Microfinance
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Microfinance
NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance
NMFBS,National Laghubitta Bittiya Sanstha Limited,Microfinance
SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,Microfinance
MATRI,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance
NBF1,Nabil Balanced Fund-1,Mutual Fund
NIBSF1,NIBL Samriddhi Fund 1,Mutual Fund
GIMES1,Global IME Samunnat Scheme 1,Mutual Fund
NMBHF1,NMB Hybrid Fund L- 1,Mutual Fund
NEF,Nabil Equity Fund,Mutual Fund
NIBLPF,NIBL Pragati Fund,Mutual Fund
LEMF,Laxmi Equity Fund,Mutual Fund
SEF,Siddhartha Equity Fund,Mutual Fund
GIBF1,Global IME Balanced Fund-I,Mutual Fund
CMF1,Citizens Mutual Fund-1,Mutual Fund
SAEF,Sanima Equity Fund,Mutual Fund
NICGF,NIC Asia Growth Fund,Mutual Fund
NICBF,NIC ASIA Balanced Fund,Mutual Fund
SIGS2,Siddhartha Investment Growth Scheme-2,Mutual Fund
CMF2,Citizens Mutual Fund - 2,Mutual Fund
NBF2,Nabil Balanced Fund - 2,Mutual Fund
NMB50,NMB 50,Mutual Fund
LUK,Laxmi Unnati Kosh,Mutual Fund
SFMF,Sunrise First Mutual Fund,Mutual Fund
SLCF,Sanima Large Cap Fund,Mutual Fund
KEF,Kumari Equity Fund,Mutual Fund
NICSF,NIC Asia Select-30,Mutual Fund
NIBSF2,NIBL Samriddhi Fund - 2,Mutual Fund
SBCF,Sunrise Bluechip Fund,Mutual Fund
PSF,Prabhu Select Fund,Mutual Fund
RMF1,RBB Mutual Fund 1,Mutual Fund
MMF1,Mega Mutual Fund - 1,Mutual Fund
KDBY,Kumari Dhanabriddhi Yojana,Mutual Fund
SIGS3,Siddhartha Investment Growth Scheme 3,Mutual Fund
SAGF,Sanima Growth Fund,Mutual Fund
NSIF2,NMB Sulav Investment Fund - II,Mutual Fund
NICFC,NIC Asia Flexi Cap Fund,Mutual Fund
NBF3,Nabil Balanced Fund III,Mutual Fund
PRSF,Prabhu Smart Fund,Mutual Fund
NIBLGF,NIBL Growth Fund,Mutual Fund
SFEF,Sunrise Focused Equity Fund,Mutual Fund
C30MF,Citizens Super 30 Mutual Fund,Mutual Fund
NICGF2,NIC Asia Growth Fund 2,Mutual Fund
LVF2,Laxmi Value Fund-II,Mutual Fund
NMBHF2,NMB Hybrid Fund L-II,Mutual Fund
RMF2,RBB Mutual Fund 2,Mutual Fund
KSY,Kumari Sabal Yojana,Mutual Fund
NIBLSTF,NIBL Stable Fund,Mutual Fund
GBIMESY2,Global IME Samunnat Yojana -II,Mutual Fund
H8020,Himalayan 80-20,Mutual Fund
MNMF1,Muktinath Mutual Fund 1,Mutual Fund
GSY,Garima Samriddhi Yojana,Mutual Fund
MBLEF,MBL Equity Fund,Mutual Fund
RSY,Reliable Samriddhi Yojana,Mutual Fund
HLICF,HLI Large Cap Fund,Mutual Fund
NICL,Nepal Insurance Company Limited,Non-Life Insurance
NIL,Neco Insurance Limited,Non-Life Insurance
SICL,Shikhar Insurance Company Limited,Non-Life Insurance
NLG,NLG Insurance Company Limited,Non-Life Insurance
RBCL,Rastriya Beema Company Limited,Non-Life Insurance
PRIN,Prabhu Insurance Company Limited,Non-Life Insurance
HEI,Himalayan Everest Insurance Limited,Non-Life Insurance
SGIC,Sanima GIC Insurance Limited,Non-Life Insurance
SPIL,Siddhartha Premier Insurance Limited,Non-Life Insurance
SALICO,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance
IGI,IGI Prudential Insurance Limited,Non-Life Insurance
UAIL,United Ajod Insurance Limited,Non-Life Insurance
NMIC,Nepal Micro Insurance Company Limited,Non-Life Insurance
NFD,Nepal Film Dev. Company Limited,Others
NTC,Nepal Doorsanchar Company Limited,Others
NRIC,Nepal Reinsurance Company Limited,Others
HRL,Himalayan Reinsurance Limited,Others
TTL,Trade Tower Limited,Others
MKCL,Muktinath Krishi Company Limited,Others
NWCL,Nepal Warehousing Company Limited,Others
NRM,Nepal Republic Media Limited,Others
PURE,Pure Energy Limited,Others
JHAPA,Jhapa Energy Limited,Others
STC,Salt Trading Corporation Limited,Trading
BBC,Bishal Bazar Company Limited,Trading
